Geo Point;Geo Shape;Eindeutiger Identifikator des Unfalls;Beschreibung zum Unfalltyp;Beschreibung der Unfallschwerekategorie;Unfalljahr;Unfallmonat;Wochentag;Unfallstunde;Strassenart;Fussgängerbeteiligung;Fahrradbeteiligung;Motorradbeteiligung
47.56352355960914, 7.601329559843061;"{""coordinates"": [7.601329559843061, 47.56352355960914], ""type"": ""Point""}";1639;Parkierunfall;1 Unfall mit Sachschaden;2012;10;5 Freitag;;andere;false;false;false
47.567042630970896, 7.599506456708363;"{""coordinates"": [7.599506456708363, 47.567042630970896], ""type"": ""Point""}";1645;Parkierunfall;1 Unfall mit Sachschaden;2012;10;1 Montag;20;andere;false;false;false
47.551626193116356, 7.5868394852866;"{""coordinates"": [7.5868394852866, 47.551626193116356], ""type"": ""Point""}";1650;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2012;10;2 Dienstag;0;Nebenstrasse;false;false;false
47.55859618077965, 7.5869651165839445;"{""coordinates"": [7.586965116583944, 47.55859618077965], ""type"": ""Point""}";1652;Auffahrunfall;1 Unfall mit Sachschaden;2012;10;2 Dienstag;16;Nebenstrasse;false;false;true
47.55466509659988, 7.594487090742592;"{""coordinates"": [7.594487090742592, 47.55466509659988], ""type"": ""Point""}";1655;Abbiegeunfall;1 Unfall mit Sachschaden;2012;10;5 Freitag;9;Nebenstrasse;false;false;false
47.557614142994375, 7.614092936458465;"{""coordinates"": [7.614092936458465, 47.557614142994375], ""type"": ""Point""}";1671;Überholunfall oder Fahrstreifenwechsel;1 Unfall mit Sachschaden;2012;10;2 Dienstag;16;Autobahn;false;false;false
47.554306923716474, 7.593303641982998;"{""coordinates"": [7.593303641982998, 47.554306923716474], ""type"": ""Point""}";1676;Parkierunfall;1 Unfall mit Sachschaden;2012;10;4 Donnerstag;;Nebenstrasse;false;false;false
47.544404524797294, 7.606491508518871;"{""coordinates"": [7.606491508518871, 47.544404524797294], ""type"": ""Point""}";1679;Einbiegeunfall;1 Unfall mit Sachschaden;2012;10;5 Freitag;12;Hauptstrasse;false;false;false
47.58959325812709, 7.59017540022164;"{""coordinates"": [7.59017540022164, 47.58959325812709], ""type"": ""Point""}";1681;Parkierunfall;1 Unfall mit Sachschaden;2012;10;5 Freitag;;andere;false;false;false
47.56807990246847, 7.6160276672193765;"{""coordinates"": [7.616027667219377, 47.56807990246847], ""type"": ""Point""}";1682;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2012;10;6 Samstag;7;Nebenstrasse;false;false;false
47.56286035759069, 7.6060313405413345;"{""coordinates"": [7.606031340541334, 47.56286035759069], ""type"": ""Point""}";1700;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2012;11;6 Samstag;0;Nebenstrasse;false;false;false
47.55181144374723, 7.596444914220589;"{""coordinates"": [7.596444914220589, 47.55181144374723], ""type"": ""Point""}";1708;Überqueren der Fahrbahn;1 Unfall mit Sachschaden;2012;11;1 Montag;12;Nebenstrasse;false;true;false
47.54438224586679, 7.575369493792412;"{""coordinates"": [7.575369493792412, 47.54438224586679], ""type"": ""Point""}";1713;Einbiegeunfall;1 Unfall mit Sachschaden;2012;11;2 Dienstag;8;Hauptstrasse;false;false;false
47.546715477525915, 7.56393834762697;"{""coordinates"": [7.56393834762697, 47.546715477525915], ""type"": ""Point""}";1714;Parkierunfall;1 Unfall mit Sachschaden;2012;11;2 Dienstag;11;Nebenstrasse;false;false;false
47.565104252578706, 7.5749972976920406;"{""coordinates"": [7.574997297692041, 47.565104252578706], ""type"": ""Point""}";1727;Parkierunfall;1 Unfall mit Sachschaden;2012;11;6 Samstag;;Nebenstrasse;false;false;false
47.565465197994385, 7.595501946483211;"{""coordinates"": [7.595501946483211, 47.565465197994385], ""type"": ""Point""}";1729;Überqueren der Fahrbahn;2 Unfall mit Leichtverletzten;2012;11;7 Sonntag;13;Nebenstrasse;false;true;false
47.54445841061975, 7.606544809826868;"{""coordinates"": [7.606544809826868, 47.54445841061975], ""type"": ""Point""}";1730;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2012;11;7 Sonntag;14;Hauptstrasse;false;false;false
47.58959325812709, 7.59017540022164;"{""coordinates"": [7.59017540022164, 47.58959325812709], ""type"": ""Point""}";1734;Parkierunfall;1 Unfall mit Sachschaden;2012;11;1 Montag;;andere;false;false;false
47.56448388877638, 7.602754301100938;"{""coordinates"": [7.602754301100938, 47.56448388877638], ""type"": ""Point""}";1735;Parkierunfall;1 Unfall mit Sachschaden;2012;11;1 Montag;;Nebenstrasse;false;false;false
47.56673029717667, 7.597724850504549;"{""coordinates"": [7.597724850504549, 47.56673029717667], ""type"": ""Point""}";1738;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2012;11;3 Mittwoch;2;Nebenstrasse;false;false;false
47.562084888038875, 7.607424083538887;"{""coordinates"": [7.607424083538887, 47.562084888038875], ""type"": ""Point""}";1742;Parkierunfall;1 Unfall mit Sachschaden;2012;11;5 Freitag;;Nebenstrasse;false;false;false
47.56543680717769, 7.567264407282586;"{""coordinates"": [7.567264407282586, 47.56543680717769], ""type"": ""Point""}";1747;Parkierunfall;1 Unfall mit Sachschaden;2012;11;1 Montag;;Nebenstrasse;false;false;false
47.56289816408706, 7.5916144300917665;"{""coordinates"": [7.591614430091767, 47.56289816408706], ""type"": ""Point""}";1750;Parkierunfall;1 Unfall mit Sachschaden;2012;11;3 Mittwoch;;Nebenstrasse;false;false;false
47.58019926218521, 7.640644753764365;"{""coordinates"": [7.640644753764365, 47.58019926218521], ""type"": ""Point""}";1753;Parkierunfall;1 Unfall mit Sachschaden;2012;11;5 Freitag;17;Nebenstrasse;false;false;false
